rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
194,neciest,K1.st.šu.tu,19061,0.7,0,0,0,0,1,0,1,0,0,0,0
195,čigāns,D1.s,18970,0.7,1,0,0,0,0,0,0,0,0,0,0
196,noziedzība,D4.a,18631,0.7,0,0,1,0,0,0,0,0,0,0,0
197,nodevība,D4.a,18598,0.1,0,0,0,0,0,0,0,0,0,0,1
198,briesmas,D4.as,18569,0.4,0,0,0,0,0,0,1,0,0,0,0
199,idiņš,D1.š,18536,0.4,0,1,0,0,0,0,0,0,0,0,0
200,mocīties,K3.cīties,18516,1.0,0,0,0,0,1,0,0,0,0,0,0
201,pajoliņš,D1.š,18377,0.4,0,1,0,0,0,0,0,0,0,0,0
202,mērglis,D2.lis,18296,0.4,0,1,0,0,0,0,0,0,0,0,0
203,jāsoda,Fix,18280,1.0,0,0,0,1,0,0,0,0,0,0,0
204,cīnītājs,D1.s,18276,0.7,0,0,0,0,1,0,0,1,0,0,0
205,pakārt,K1.ārt.aru.āru,17891,1.0,0,0,0,1,1,0,0,0,0,0,0
206,krāpnieks,D1.s,17839,0.7,0,0,1,0,0,0,0,0,0,0,0
207,cirvis,D2.vis,17820,0.4,0,1,0,0,0,0,1,0,0,0,0
208,muslims,D1.s,17810,0.7,1,0,0,0,0,0,0,0,0,0,0
209,sabojāt,K2.t,17734,1.0,0,0,0,0,1,0,0,0,0,0,0
210,kaka,D4.a,17317,0.4,0,1,0,0,0,0,0,0,0,0,0
211,kareivis,D2.vis,17117,0.4,0,0,0,0,0,0,0,1,0,0,0
212,nekaunība,D4.a,17100,0.7,0,0,0,0,0,0,0,0,1,0,0
213,diskriminācija,D4.a,16784,0.7,0,0,1,0,0,0,0,0,0,0,0
214,divīzija,D4.a,16699,0.4,0,0,0,0,0,0,0,1,0,0,0
215,zaglīgs,Īp.s,16453,0.8,0,0,1,0,1,0,0,0,1,0,0
216,riebīgs,Īp.s,16420,0.4,0,0,0,0,0,0,1,0,0,0,0
217,ņirgāšanās,DR.šanās,16111,1.0,0,0,0,0,1,0,0,0,0,0,0
218,urla,D4.a,16018,0.7,1,0,0,0,0,0,0,0,0,0,0
219,duraks,D1.s,16009,0.4,0,1,0,0,0,0,0,0,0,0,0
220,sisties,K1.sties.tos.tos,15979,0.1,0,0,0,0,0,0,0,0,0,0,0
221,jācīnās,Fix,15850,0.7,0,0,0,0,1,0,0,1,0,0,0
223,drāzt,K1.zt.žu.zu,15573,1.0,0,0,0,0,1,0,0,0,0,0,0
224,manipulēt,K2.t,15536,0.7,0,0,1,0,0,0,0,0,0,0,0
225,nacionālisms,D1.s,15365,0.4,0,0,0,0,0,0,1,0,0,0,0
226,apšaut,K1.aut.auju.āvu,15359,1.0,0,0,0,0,1,0,0,0,0,0,0
227,zārks,D1.s,14878,0.4,0,0,0,0,0,0,1,0,0,0,0
228,vergot,K2.t,14814,0.7,0,0,1,0,0,0,0,0,0,0,0
229,sagrauts,Īp.s,14752,1.0,0,0,0,0,1,0,0,0,0,0,0
230,lāsts,D1.s,14738,0.4,0,0,0,0,0,0,1,0,0,0,0
231,jālikvidē,Fix,14705,1.0,0,0,0,1,0,0,0,0,0,0,0
232,kaitējums,D1.s,14674,0.85,0,0,1,0,1,0,0,0,0,0,0
233,maukt,K1.kt.cu.cu,14626,1.0,0,0,0,0,1,0,0,0,0,0,0
234,atombumba,D4.a,14564,0.4,0,0,0,0,0,0,0,1,0,0,0
235,nosist,K1.st.tu.tu,14498,1.0,0,0,0,1,1,0,0,0,0,0,0
236,sāpīgs,Īp.s,14248,0.7,0,0,0,0,0,0,1,0,0,1,0
237,aizturēt,K3.ēt,14238,1.0,0,0,0,0,1,0,0,0,0,0,0
238,idiotisks,Īp.s,14196,0.4,0,1,0,0,0,0,0,0,0,0,0
239,aizturēts,Īp.s,14176,1.0,0,0,0,0,1,0,0,0,0,0,0
240,patriekt,K1.kt.cu.cu,14165,1.0,0,0,0,0,1,0,0,0,0,0,0
241,izvarošana,D4.a,14115,1.0,0,0,0,0,1,0,0,0,0,0,0
242,sāpes,D5.es,13928,0.7,0,0,0,0,0,0,1,0,0,1,0
243,mocīt,K3.cīt,13844,1.0,0,0,0,0,1,0,0,0,0,0,0
244,liekulis,D2.lis,13840,0.7,0,0,0,0,0,0,0,0,1,0,0
245,biedē,K2.t,13834,1.0,0,0,0,0,1,0,0,0,0,0,0
246,pārdoties,K1.oties.odos.evos,13794,0.7,0,0,1,0,0,0,0,0,0,0,0
247,uzpūsts,Īp.s,13780,0.7,0,0,1,0,0,0,0,0,0,0,0
248,policis,D2.cis,13725,0.4,0,0,0,0,0,0,1,0,0,0,0
249,iznīcība,D4.a,13677,0.4,0,0,0,0,0,0,1,0,0,0,0
250,lamāties,K2.ties,13645,1.0,0,0,0,0,1,0,0,0,0,0,0
251,piegriezties,K1.zties.žos.zos,13641,0.4,0,0,0,0,0,0,1,0,0,0,0
252,apdraudējums,D1.s,13551,1.0,0,0,0,0,1,0,0,0,0,0,0
253,vaņka,D4.a,13247,0.7,1,0,0,0,0,0,0,0,0,0,0
254,izšaut,K1.aut.auju.āvu,13242,1.0,0,0,0,0,1,0,0,0,0,0,0
255,stukačs,D1.s,13117,0.1,0,0,0,0,0,0,0,0,0,0,1
